Iniciando testes de Rede...

Iniciando bateria: 20... 

Iniciando rodada de testes: 1 bateria: 20

Iniciando teste osu_allgather_ seg 04 set 2023 16:06:12 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
4                      3574.02
8                      3578.07
16                     3888.43
32                     6147.65
64                     6755.61
128                    8773.87
256                   10733.19
512                   25139.24
1024                  37245.37
2048                  40247.48
4096                  47776.00
8192                  77600.93
16384                157263.30
32768                315938.56
65536                520935.94
131072              1103942.71
262144              2325706.22
524288              4734134.92
1048576             9422259.18
Iniciando teste osu_alltoallv_ ter 05 set 2023 17:34:44 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        29.22
1                     14622.06
2                     14511.81
4                     14383.88
8                     14434.33
16                    14766.95
32                    14583.03
64                    14856.36
128                   14764.00
256                   22078.99
512                   23821.28
1024                  35925.12
2048                  39937.51
4096                  47263.10
8192                  81864.01
16384                162360.18
32768                321702.18
65536                467598.56
131072               891815.03
262144              1841157.16
524288              4190945.48
1048576             8686611.03
Iniciando teste osu_barrier_ ter 05 set 2023 18:12:33 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      2130.84
Iniciando teste osu_bcast_ ter 05 set 2023 18:12:36 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.42
1                       197.18
2                       201.49
4                       192.29
8                       199.73
16                      195.85
32                      196.16
64                      213.55
128                     221.72
256                    3618.65
512                    3792.71
1024                   5909.23
2048                   4034.59
4096                   4343.36
8192                   5391.11
16384                 40150.15
32768                 56166.27
65536                 59637.83
131072                82637.98
262144               123592.22
524288               195266.12
1048576              358462.75
Iniciando teste osu_gather_ ter 05 set 2023 18:19:47 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.81
1                     26724.02
2                     26523.18
4                     26827.41
8                     27931.16
16                    28752.31
32                    29556.79
64                    25912.59
128                   22639.68
256                   26679.68
512                   26525.10
1024                  25055.67
2048                  38314.40
4096                  43651.16
8192                  48880.45
16384                 25760.77
32768                 22795.54
65536                 43760.72
131072                97240.00
262144               198580.75
524288               406236.75
1048576              840430.78
Iniciando teste osu_multi_lat_ ter 05 set 2023 19:41:27 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       685.46
1                       685.28
2                       683.74
4                       684.31
8                       686.75
16                      684.55
32                      695.74
64                      703.03
128                     723.84
256                     882.80
512                    1337.24
1024                   1737.28
2048                   1198.82
4096                   1227.20
8192                   1640.00
16384                  3713.75
32768                  4650.88
65536                  8754.24
131072                30866.23
262144                54861.88
524288                93127.47
1048576              171961.31
2097152              330918.20
4194304              683924.47
Iniciando teste osu_scatter_ ter 05 set 2023 20:36:09 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.73
1                       491.27
2                       511.86
4                       520.38
8                       509.54
16                      531.77
32                      533.09
64                     1358.89
128                    2648.34
256                    4300.04
512                    4810.82
1024                   5250.17
2048                   6431.69
4096                  10291.22
8192                  17241.78
16384                 32562.57
32768                 60884.01
65536                122720.12
131072               243804.88
262144               485877.52
524288               973532.15
1048576             1946992.62
Rodada 1 bateria: 24 
Iniciando rodada de testes: 2 bateria: 24

Iniciando teste osu_allgather_ ter 05 set 2023 20:53:40 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.57
1                      2927.68
2                      2889.15
4                      2943.68
8                      2860.06
16                     2923.10
32                     3015.60
64                     3765.26
128                    4746.17
256                    6733.20
512                    8149.58
1024                   9873.67
2048                  12358.79
4096                  61062.39
8192                  81616.79
16384                146505.18
32768                219817.95
65536                411655.99
131072               848690.18
262144              1614242.74
524288              3217461.11
1048576             6456894.96
Iniciando teste osu_alltoall_ ter 05 set 2023 21:55:10 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.59
1                      3413.35
2                      3530.91
4                      3485.49
8                      3598.98
16                     3803.63
32                     6079.82
64                     6758.66
128                    8549.02
256                   12098.74
512                   23662.07
1024                  36480.77
2048                  39250.73
4096                  46777.87
8192                  77487.29
16384                162671.22
32768                316066.27
65536                522621.20
131072              1120139.75
262144              2297054.15
524288              4706414.19
1048576             9411126.08
Iniciando teste osu_alltoallv_ ter 05 set 2023 22:34:47 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        29.58
1                     15096.02
2                     14626.94
4                     15341.06
8                     15208.54
16                    14954.62
32                    14633.57
64                    15232.54
128                   14223.11
256                   22133.58
512                   25031.16
1024                  38022.35
2048                  39551.82
4096                  49051.78
8192                  79540.12
16384                164368.00
32768                311571.68
65536                478769.32
131072               866537.41
262144              1678919.93
524288              3670966.16
1048576             7867315.02
Iniciando teste osu_barrier_ ter 05 set 2023 23:09:52 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      2136.32
Iniciando teste osu_bcast_ ter 05 set 2023 23:09:56 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.51
1                       209.69
2                       208.86
4                       206.44
8                       212.90
16                      206.34
32                      210.67
64                      222.00
128                     218.51
256                    3663.54
512                    3796.98
1024                   5941.43
2048                   4074.83
4096                   4346.84
8192                   5433.61
16384                 39163.01
32768                 58079.97
65536                 61113.92
131072                90057.19
262144               127918.21
524288               198368.81
1048576              355623.65
Iniciando teste osu_gather_ ter 05 set 2023 23:17:07 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.78
1                     25039.12
2                     26577.40
4                     26830.36
8                     28619.33
16                    28244.79
32                    28992.16
64                    25419.34
128                   24973.32
256                   26210.62
512                   25907.15
1024                  25456.12
2048                  37948.46
4096                  44302.37
8192                  49421.40
16384                 25212.15
32768                 25800.11
65536                 60519.92
131072               105622.36
262144               263825.93
524288               376546.70
1048576             1043897.43
Iniciando teste osu_multi_lat_ qua 06 set 2023 00:38:55 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       689.18
1                       690.98
2                       688.30
4                       686.15
8                       687.43
16                      687.08
32                      691.35
64                      705.75
128                     723.45
256                     866.58
512                    1347.56
1024                   1742.69
2048                   1202.20
4096                   1240.00
8192                   1654.43
16384                  3818.19
32768                  4636.67
65536                  8791.54
131072                30199.21
262144                54791.35
524288                93120.30
1048576              175451.91
2097152              328068.47
4194304              705540.79
Iniciando teste osu_scatter_ qua 06 set 2023 01:34:15 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.74
1                       514.59
2                       535.32
4                       532.99
8                       525.43
16                      552.59
32                      561.49
64                     1381.96
128                    2615.75
256                    4316.40
512                    4818.61
1024                   5123.46
2048                   6451.50
4096                  10164.95
8192                  16289.02
16384                 32428.52
32768                 62155.93
65536                123555.74
131072               245015.20
262144               488461.54
524288               970640.69
1048576             1935439.33
Rodada 2 bateria: 24 
Iniciando rodada de testes: 3 bateria: 24

Iniciando teste osu_allgather_ qua 06 set 2023 01:51:22 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.80
1                      3433.87
2                      3250.01
4                      2828.24
8                      2906.57
16                     2881.26
32                     3020.24
64                     3635.43
128                    4577.46
256                    6720.13
512                    8034.60
1024                   9838.46
2048                  13236.20
4096                  63890.24
8192                  86202.65
16384                162969.27
32768                239866.62
65536                417870.44
131072               864534.54
262144              1629572.69
524288              3252074.43
1048576             6514622.53
Iniciando teste osu_alltoall_ qua 06 set 2023 02:54:38 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.34
1                      3498.50
2                      3574.31
4                      3797.72
8                      3865.63
16                     4046.83
32                     6167.82
64                     6644.23
128                    8654.88
256                   10563.78
512                   24980.89
1024                  37471.85
2048                  40354.80
4096                  48418.03
8192                  79934.26
16384                162389.79
32768                319211.92
65536                524623.14
131072              1100307.00
262144              2314535.45
524288              4719486.98
1048576             9293933.22
Iniciando teste osu_alltoallv_ qua 06 set 2023 03:34:08 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        28.97
1                     15347.15
2                     15227.48
4                     15003.00
8                     14936.84
16                    14757.34
32                    14993.30
64                    15058.38
128                   15518.30
256                   22443.65
512                   23562.51
1024                  37388.89
2048                  39384.50
4096                  47871.49
8192                  83151.22
16384                157460.85
32768                314326.41
65536                490289.53
131072               863343.44
262144              1736474.54
524288              3926803.88
1048576             8325783.38
Iniciando teste osu_barrier_ qua 06 set 2023 04:10:42 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      2203.98
Iniciando teste osu_bcast_ qua 06 set 2023 04:10:46 -03

