Iniciando testes de Rede...

Iniciando bateria: 8... 

Iniciando rodada de testes: 1 bateria: 8

Iniciando teste osu_allgather_ sex 25 ago 2023 12:41:22 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
Iniciando teste osu_alltoallv_ sex 25 ago 2023 23:10:49 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        22.23
1                      4704.57
2                      4688.22
4                      5271.38
8                      5285.62
16                     5194.84
32                     5168.65
64                     5202.24
128                    5275.56
256                    8246.94
512                    9393.19
1024                  14057.23
2048                  14799.51
4096                  17175.81
8192                  38702.27
16384                 84271.60
32768                116758.69
65536                188260.80
131072               307164.14
262144               558331.52
524288              1077646.24
1048576             2084380.64
Iniciando teste osu_barrier_ sex 25 ago 2023 23:21:52 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      3164.92
Iniciando teste osu_bcast_ sex 25 ago 2023 23:21:56 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.37
1                       182.20
2                       183.47
4                       173.99
8                       183.81
16                      182.35
32                      186.40
64                      194.19
128                     192.94
256                    3449.42
512                    3608.22
1024                   5789.03
2048                   3901.83
4096                   4175.52
8192                   5296.13
16384                 28200.99
32768                 31856.50
65536                 36986.37
131072                51649.08
262144                80995.78
524288               141846.56
1048576              268370.87
Iniciando teste osu_gather_ sex 25 ago 2023 23:28:21 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.80
1                     23749.23
2                     22696.68
4                     23705.48
8                     25728.40
16                    25828.19
32                    25419.35
64                    22953.44
128                   21124.78
256                   19426.66
512                   22702.88
1024                  18765.78
2048                  22906.63
4096                  26420.43
8192                  31646.10
16384                 13975.18
32768                 23277.05
65536                 30152.70
131072                55770.98
262144                94014.96
524288               190493.60
1048576              378358.09
Iniciando teste osu_multi_lat_ sáb 26 ago 2023 00:30:41 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       573.50
1                       577.41
2                       578.74
4                       574.73
8                       574.15
16                      575.84
32                      584.65
64                      591.17
128                     614.72
256                     969.91
512                    1305.03
1024                   1632.99
2048                   1102.08
4096                   1218.59
8192                   1619.11
16384                  2839.97
32768                  4305.66
65536                  8098.13
131072                18159.91
262144                38807.89
524288                76010.54
1048576              149386.56
2097152              295737.93
4194304              571875.11
Iniciando teste osu_scatter_ sáb 26 ago 2023 01:17:59 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.62
1                       323.81
2                       322.56
4                       324.93
8                       326.19
16                      339.58
32                      340.56
64                     1221.64
128                    2312.86
256                    4143.77
512                    4554.12
1024                   4858.99
2048                   4924.49
4096                   6703.72
8192                  10061.47
16384                 17352.62
32768                 31668.35
65536                 60881.10
131072               118623.11
262144               231850.13
524288               461566.40
1048576              925750.87
Rodada 1 bateria: 12 
Iniciando rodada de testes: 2 bateria: 12

Iniciando teste osu_allgather_ sáb 26 ago 2023 01:28:57 -03

# MPI Allgather Latency Test
# Size [B]        Latency [us]
0                         5.62
1                      2487.72
2                      2967.10
4                      2971.95
8                      2960.72
16                     3005.11
32                     3032.44
64                     3892.28
128                    5641.30
256                    6958.18
512                    7082.25
1024                   7865.29
2048                   8969.50
4096                  13338.33
8192                  29941.88
16384                 53072.40
32768                 78668.92
65536                140215.38
131072               289064.30
262144               547960.95
524288              1043604.31
1048576             2239106.58
Iniciando teste osu_alltoall_ sáb 26 ago 2023 01:55:34 -03

# MPI All-to-All Latency Test
# Size [B]        Latency [us]
0                         7.84
1                      2984.25
2                      2930.84
4                      3107.05
8                      3107.96
16                     3184.56
32                     3075.82
64                     5473.13
128                    7763.53
256                    8120.94
512                    9626.76
1024                  14050.74
2048                  14441.87
4096                  17339.18
8192                  36108.93
16384                 79954.15
32768                103572.24
65536                156277.08
131072               336535.71
262144               719375.86
524288              1545483.18
1048576             3236390.21
Iniciando teste osu_alltoallv_ sáb 26 ago 2023 02:09:33 -03

# MPI Alltoallv Latency Test
# Size [B]        Latency [us]
0                        22.21
1                      5032.18
2                      5042.64
4                      4969.73
8                      4890.83
16                     4911.63
32                     4911.84
64                     4982.59
128                    5137.71
256                    7922.19
512                    8976.78
1024                  13396.02
2048                  14209.92
4096                  16717.49
8192                  31171.69
16384                 73674.83
32768                116631.14
65536                183809.30
131072               299999.64
262144               554082.98
524288              1080943.80
1048576             2103472.43
Iniciando teste osu_barrier_ sáb 26 ago 2023 02:20:22 -03

# MPI Barrier Latency Test
# Size [B]        Latency [us]
0                      1822.94
Iniciando teste osu_bcast_ sáb 26 ago 2023 02:20:25 -03

# MPI Broadcast Latency Test
# Size [B]        Latency [us]
0                         5.43
1                       182.85
2                       217.77
4                       179.59
8                       185.56
16                      183.85
32                      184.41
64                      194.72
128                     187.53
256                    3456.66
512                    3605.78
1024                   5812.40
2048                   3919.65
4096                   4160.00
8192                   5323.74
16384                 28234.83
32768                 31620.89
65536                 35892.88
131072                49901.84
262144                80566.58
524288               143927.55
1048576              265938.88
Iniciando teste osu_gather_ sáb 26 ago 2023 02:26:47 -03

# MPI Gather Latency Test
# Size [B]        Latency [us]
0                         5.90
1                     23423.37
2                     22504.63
4                     23575.48
8                     22676.55
16                    25091.61
32                    26073.47
64                    22788.02
128                   21247.86
256                   19767.66
512                   22953.75
1024                  20001.35
2048                  24064.02
4096                  26820.95
8192                  31437.72
16384                 13927.19
32768                 23878.52
65536                 31106.07
131072                51677.72
262144                93168.89
524288               191288.14
1048576              378893.47
Iniciando teste osu_multi_lat_ sáb 26 ago 2023 03:29:12 -03

# MPI Multi Latency Test
# Size [B]        Latency [us]
0                       550.53
1                       549.69
2                       550.48
4                       554.48
8                       550.86
16                      548.25
32                      554.12
64                      568.06
128                     588.66
256                     982.84
512                    1300.53
1024                   1647.60
2048                   1108.23
4096                   1229.13
8192                   1662.65
16384                  2857.23
32768                  4410.57
65536                  8892.41
131072                18187.78
262144                38802.78
524288                75289.40
1048576              150329.42
2097152              291804.91
4194304              575162.48
Iniciando teste osu_scatter_ sáb 26 ago 2023 04:17:09 -03

# MPI Scatter Latency Test
# Size [B]        Latency [us]
0                         5.80
1                       297.88
2                       303.42
4                       305.27
8                       301.79
16                      314.05
32                      319.74
64                     1172.41
128                    2262.41
256                    4138.30
512                    4506.14
1024                   4742.42
